Date,City,District,Price
2020-02-01,Kaunas,Aukštutiniai Kaniūkai,1202.25
2018-01-01,Kaunas,Aukštutiniai Kaniūkai,1113.92
2020-06-01,Kaunas,Aukštutiniai Kaniūkai,1159.13
2021-03-01,Kaunas,Aukštutiniai Kaniūkai,1037.06
2019-01-01,Kaunas,Aukštutiniai Kaniūkai,1182.41
2020-12-01,Kaunas,Aukštutiniai Kaniūkai,900.0
2019-05-01,Kaunas,Aukštutiniai Kaniūkai,1128.9
2019-11-01,Kaunas,Aukštutiniai Kaniūkai,964.72
2020-10-01,Kaunas,Aukštutiniai Kaniūkai,989.14
2019-07-01,Kaunas,Aukštutiniai Kaniūkai,1070.11
2020-07-01,Kaunas,Aukštutiniai Kaniūkai,1067.46
2018-04-01,Kaunas,Aukštutiniai Kaniūkai,1061.89
2019-09-01,Kaunas,Aukštutiniai Kaniūkai,1055.4
2018-08-01,Kaunas,Aukštutiniai Kaniūkai,1209.81
2020-11-01,Kaunas,Aukštutiniai Kaniūkai,962.66
2018-10-01,Kaunas,Aukštutiniai Kaniūkai,1201.86
2020-09-01,Kaunas,Aukštutiniai Kaniūkai,1071.18
2018-02-01,Kaunas,Aukštutiniai Kaniūkai,1202.83
2018-07-01,Kaunas,Aukštutiniai Kaniūkai,1096.32
2019-08-01,Kaunas,Aukštutiniai Kaniūkai,1130.93
2020-08-01,Kaunas,Aukštutiniai Kaniūkai,1067.62
2018-06-01,Kaunas,Aukštutiniai Kaniūkai,1081.19
2019-05-01,Kaunas,Vičiūnai,1683.56
2019-06-01,Kaunas,Vičiūnai,1787.74
2020-06-01,Kaunas,Vičiūnai,1696.0
2018-11-01,Kaunas,Vičiūnai,854.04
2018-01-01,Kaunas,Vičiūnai,1480.94
2018-10-01,Kaunas,Vičiūnai,1190.27
2020-04-01,Kaunas,Vičiūnai,1809.58
2019-02-01,Kaunas,Vičiūnai,1491.39
2019-11-01,Kaunas,Vičiūnai,1456.78
2019-10-01,Kaunas,Vičiūnai,1456.78
2020-10-01,Kaunas,Vičiūnai,1746.13
2019-01-01,Kaunas,Vičiūnai,1293.78
2018-02-01,Kaunas,Vičiūnai,1531.63
2020-08-01,Kaunas,Vičiūnai,1696.0
2018-04-01,Kaunas,Vičiūnai,1523.76
2019-03-01,Kaunas,Vičiūnai,1625.57
2021-01-01,Kaunas,Vičiūnai,1975.18
2020-12-01,Kaunas,Vičiūnai,1679.52
2018-12-01,Kaunas,Vičiūnai,938.25
2021-03-01,Kaunas,Vičiūnai,2104.14
2022-06-01,Kaunas,Vičiūnai,2446.8
2018-03-01,Kaunas,Vičiūnai,1587.18
2019-04-01,Kaunas,Vičiūnai,1633.29
2018-07-01,Kaunas,Vičiūnai,679.49
2019-08-01,Kaunas,Vičiūnai,1643.58
2019-09-01,Kaunas,Vičiūnai,1655.62
2020-03-01,Kaunas,Vičiūnai,1809.58
2022-08-01,Kaunas,Vičiūnai,2439.85
2018-06-01,Kaunas,Vičiūnai,907.9
2020-01-01,Kaunas,Vičiūnai,1675.45
2018-05-01,Kaunas,Vičiūnai,1153.13
2019-07-01,Kaunas,Vičiūnai,1730.2
2020-07-01,Kaunas,Vičiūnai,1696.0
2022-07-01,Kaunas,Vičiūnai,2451.5
2019-12-01,Kaunas,Vičiūnai,1669.24
2021-02-01,Kaunas,Vičiūnai,1870.24
2017-12-01,Kaunas,Vičiūnai,1409.09
2018-08-01,Kaunas,Vičiūnai,679.49
2020-11-01,Kaunas,Vičiūnai,1687.78
2020-12-01,Kaunas,Vaišvydava,602.56
2021-02-01,Kaunas,Vaišvydava,596.15
2020-02-01,Kaunas,Vaišvydava,1039.79
2021-01-01,Kaunas,Vaišvydava,602.56
2020-11-01,Kaunas,Vaišvydava,687.8
2020-12-01,Kaunas,Amaliai,1333.33
2018-06-01,Kaunas,Amaliai,871.35
2018-08-01,Kaunas,Amaliai,885.47
2021-02-01,Kaunas,Amaliai,1213.89
2019-07-01,Kaunas,Amaliai,1140.55
2021-01-01,Kaunas,Amaliai,1272.84
2019-10-01,Kaunas,Amaliai,1129.66
2019-09-01,Kaunas,Amaliai,1146.75
2018-02-01,Kaunas,Amaliai,799.51
2020-01-01,Kaunas,Amaliai,1205.53
2018-07-01,Kaunas,Amaliai,859.65
2018-03-01,Kaunas,Amaliai,854.84
2019-08-01,Kaunas,Amaliai,1154.6
2019-03-01,Kaunas,Amaliai,1176.47
2019-12-01,Kaunas,Amaliai,1130.04
2017-12-01,Kaunas,Amaliai,859.65
2018-05-01,Kaunas,Amaliai,873.68
2019-06-01,Kaunas,Amaliai,1156.24
2019-11-01,Kaunas,Amaliai,1131.97
2018-01-01,Kaunas,Amaliai,842.98
2022-06-01,Palanga,Palanga,2822.87
2022-07-01,Palanga,Palanga,2710.86
2022-08-01,Palanga,Palanga,2693.22
2020-12-01,Palanga,Palanga,1596.32
2021-06-01,Palanga,Palanga,1733.82
2022-01-01,Palanga,Palanga,2800.76
2022-05-01,Palanga,Palanga,3054.09
2021-07-01,Palanga,Palanga,2154.07
2021-11-01,Palanga,Palanga,2836.32
2022-04-01,Palanga,Palanga,3033.74
2020-11-01,Palanga,Palanga,1831.83
2022-03-01,Palanga,Palanga,3022.84
2021-12-01,Palanga,Palanga,2724.05
2021-03-01,Palanga,Palanga,2029.09
2021-10-01,Palanga,Palanga,2667.65
2021-08-01,Palanga,Palanga,2428.6
2020-10-01,Palanga,Palanga,1979.16
2021-04-01,Palanga,Palanga,2091.78
2021-02-01,Palanga,Palanga,1763.99
2021-01-01,Palanga,Palanga,1544.29
2021-05-01,Palanga,Palanga,1817.55
2022-02-01,Palanga,Palanga,3081.35
2021-09-01,Palanga,Palanga,2305.43
2018-04-01,Vilnius,Užusieniai,1348.55
2018-07-01,Vilnius,Užusieniai,990.99
2020-01-01,Vilnius,Užusieniai,653.01
2020-06-01,Vilnius,Užusieniai,635.14
2018-06-01,Vilnius,Užusieniai,1219.76
2020-11-01,Vilnius,Užusieniai,635.14
2019-11-01,Vilnius,Užusieniai,657.66
2020-03-01,Vilnius,Užusieniai,639.64
2020-09-01,Vilnius,Užusieniai,635.14
2020-05-01,Vilnius,Užusieniai,636.59
2018-05-01,Vilnius,Užusieniai,1222.82
2019-09-01,Vilnius,Užusieniai,657.66
2019-08-01,Vilnius,Užusieniai,657.66
2019-10-01,Vilnius,Užusieniai,657.66
2019-02-01,Vilnius,Užusieniai,657.66
2018-03-01,Vilnius,Užusieniai,1653.85
2019-12-01,Vilnius,Užusieniai,657.66
2019-07-01,Vilnius,Užusieniai,657.66
2020-12-01,Vilnius,Užusieniai,635.14
2020-10-01,Vilnius,Užusieniai,635.14
2018-08-01,Vilnius,Užusieniai,990.99
2019-03-01,Vilnius,Užusieniai,657.66
2020-02-01,Vilnius,Užusieniai,644.92
