City,District,Sale_m2,Rent_m2,RelativePriceToRent
Alytus,Putinai,877.149026084895,7.4634782332025225,117.52550200826632
Alytus,Pirmas Alytus,943.239806209458,5.70381640422454,165.3699452021012
Alytus,Senamiestis,1209.911306132737,5.956695001976868,203.11788764259373
Alytus,Dainava,884.3731223627692,7.380420613539968,119.82692703723639
Alytus,Vidzgiris,1107.6889226352214,5.22481501823512,212.00538560107447
Panevėžys,Kniaudiškiai,1182.1369988464285,5.43681280257033,217.43198483632847
Panevėžys,Molainiai,1097.1323221000785,3.969906015406025,276.36229115813677
Panevėžys,Tulpės,1033.8330227168335,6.782673471772796,152.4226438172645
Panevėžys,Žemaičiai,866.804050051287,5.397000902157288,160.60846862278797
Panevėžys,Skaistakalnis,859.9821272994013,3.94973460201777,217.73162350201176
Panevėžys,Pilėnai,1264.2698641471798,4.4365583718059725,284.9663541409776
Panevėžys,Klaipėdos,1062.0168488420313,4.953710408857091,214.38815780251826
Panevėžys,Centras,1067.3160969566234,6.720280352416296,158.8201743061012
Vilnius,Pilaitė,2158.9132325887913,10.447861576622245,206.6368525995307
Vilnius,Bajorai,2286.983112555172,10.94254532213131,208.9991903373474
Vilnius,Baltupiai,2471.4069111161516,11.9248116960689,207.249135173419
Vilnius,Aukštieji Paneriai,1505.2365747026633,7.132361216687741,211.04323364621922
Vilnius,Naujamiestis,3299.679874852998,13.569046580560098,243.1769878054907
Vilnius,Pavilnys,1629.5077795280959,6.015098632163927,270.90291933282595
Vilnius,Šeškinė,2124.7967407541,10.189226833099383,208.53365771108017
Vilnius,Valakampiai,2898.027712324634,13.427162398084874,215.83322122759026
Vilnius,Lazdynėliai,2419.2901813587523,11.758984682741811,205.73971704457165
Vilnius,Dvarčionys,1583.014556611888,8.329415254303058,190.0511030223985
Vilnius,Žirmūnai,2589.108933662821,11.742728846431191,220.48613806233752
Vilnius,Saulėtekis,2124.130404477677,6.587282662492214,322.4592769598928
Vilnius,Burbiškės,2688.7228811461246,11.311250586658502,237.70341400777065
Vilnius,Šnipiškės,3135.897852216556,14.512354388891254,216.084707428106
Vilnius,Naujininkai,1899.957994510769,11.386479695557,166.86087757677484
Vilnius,Viršuliškės,2135.6989327711635,10.223784615246586,208.8951413927701
Vilnius,Antavilis,916.3503776588914,15.708620654847437,58.33423556358654
Vilnius,Kirtimai,1167.9365338515345,11.017303249272572,106.00929351097317
Vilnius,Buivydiškės,1940.3635523593402,7.990779255103007,242.82532283947162
Vilnius,Salininkai,1162.4378505887871,6.665932946873966,174.38487003292167
Vilnius,Liepkalnis,1686.4696550638764,13.057223810420055,129.1598949018568
Vilnius,Šiaurės miestelis,2674.5731835743645,10.786933548582965,247.9456438225405
Vilnius,Verkiai,2622.042737069889,11.244699501100456,233.18032970229967
Vilnius,Naujoji Vilnia,1290.2256392322452,9.538187500873619,135.26947746771293
Vilnius,Jeruzalė,1961.1028640070872,9.506835722505684,206.28344922007403
Vilnius,Balsiai,1580.4437205289141,8.611337704864582,183.53057035913417
Vilnius,Paneriai,1524.6614921492292,10.25156324757836,148.7247803411238
Vilnius,Lazdynai,1877.8930524950847,9.761604503122726,192.37544933257118
Vilnius,Santariškės,2218.1464591897675,10.417484546739388,212.92534193237987
Vilnius,Kairėnai,1568.7279177682067,4.514227281659942,347.50751787388174
Vilnius,Vilkpėdė,2028.6991507357452,10.443762478585427,194.24983619605698
Vilnius,Žvėrynas,3652.0578445511637,14.426502427483456,253.14922053412948
Vilnius,Trakų Vokė,1417.8228490423644,7.150493782171452,198.2832084376419
Vilnius,Kalnėnai,1858.0626139604137,8.890964418331606,208.98324709627846
Vilnius,Filaretai,2723.1917068532784,12.1454510536837,224.21495050423326
Vilnius,Žemieji Paneriai,1684.1752455054666,9.675358083649826,174.06851828580042
Vilnius,Markučiai,3122.106697551091,15.467670761305271,201.84724291918053
Vilnius,Gineitiškės,1277.90244609605,14.24067904165895,89.7360612059116
Vilnius,Pašilaičiai,1961.711007675738,9.973121774289666,196.69979491606685
Vilnius,Zujūnai,1455.5926680255216,8.99330471340545,161.8529244156278
Vilnius,Justiniškės,1955.886966171849,9.792672352940599,199.72964433804674
Vilnius,Visoriai,2454.973897049844,10.525363165534827,233.24362859883314
Vilnius,Antakalnis,2783.3437199664186,11.577169514681827,240.41659893090997
Vilnius,Tarandė,1820.532821188739,9.599209779485136,189.65444687743715
Vilnius,Turniškės,2018.3862030772725,12.257124271759722,164.67045273642302
Vilnius,Užupis,3971.8153767338954,16.739583679573116,237.27085767255966
Vilnius,Karoliniškės,2015.0350788537762,9.31619034118603,216.29389321786283
Vilnius,Fabijoniškės,1898.3040634031058,9.577297173338138,198.20874606331734
Vilnius,Senamiestis,3987.6791848612484,15.621252183680554,255.27269760276693
Vilnius,Rasos,2192.9050094657578,12.095119279176288,181.30495110049884
Vilnius,Grigiškės,1511.6910576204536,7.885557870946855,191.70375544259852
Vilnius,Paupys,5350.593663891312,22.314411498841764,239.78197516743992
Vilnius,Pagiriai,1068.9612809205064,5.240187865696356,203.99293084856885
Šiauliai,Žaliūkiai,1123.2750705788494,6.038884293168735,186.00705296664034
Šiauliai,Lieporiai,1062.9969908246712,5.77906824632089,183.93916553960125
Šiauliai,Zokniai,936.3768936377601,6.734096626510109,139.0501125201451
Šiauliai,Šimšė,983.1649824530905,5.539929258283337,177.46886947754
Šiauliai,Centras,1198.5334906962235,7.798121338337751,153.69515793552696
Šiauliai,Gubernija,896.4259811156371,3.761686913846802,238.3042506317805
Šiauliai,Gytariai,1047.682422288024,5.326372408756924,196.69717809546358
