Date,City,District,Price
2019-11-01,Kaunas,Aleksotas,7.4
2020-02-01,Kaunas,Aleksotas,5.98
2018-04-01,Kaunas,Aleksotas,5.58
2021-09-01,Kaunas,Aleksotas,7.61
2019-10-01,Kaunas,Aukštieji Šančiai,5.82
2019-07-01,Kaunas,Aukštieji Šančiai,6.57
2019-02-01,Kaunas,Aukštieji Šančiai,4.5
2019-08-01,Kaunas,Aukštieji Šančiai,7.01
2019-06-01,Kaunas,Aukštieji Šančiai,6.36
2019-04-01,Kaunas,Aukštieji Šančiai,3.71
2018-05-01,Kaunas,Aukštieji Šančiai,6.24
2018-04-01,Kaunas,Aukštieji Šančiai,5.89
2020-02-01,Kaunas,Aukštieji Šančiai,5.11
2017-12-01,Kaunas,Aukštieji Šančiai,5.7
2019-09-01,Kaunas,Aukštieji Šančiai,7.32
2018-01-01,Kaunas,Aukštieji Šančiai,5.7
2019-05-01,Kaunas,Aukštieji Šančiai,4.27
2019-03-01,Kaunas,Aukštieji Šančiai,3.73
2019-11-01,Kaunas,Aukštieji Šančiai,4.29
2018-04-01,Kaunas,Vytėnai,6.44
2019-05-01,Kaunas,Vytėnai,3.67
2019-11-01,Kaunas,Vytėnai,3.96
2020-12-01,Kaunas,Vytėnai,3.04
2019-10-01,Kaunas,Vytėnai,4.32
2020-05-01,Kaunas,Vytėnai,8.89
2018-02-01,Kaunas,Vytėnai,6.44
2021-02-01,Kaunas,Vytėnai,5.31
2018-01-01,Kaunas,Vytėnai,6.44
2018-09-01,Kaunas,Vytėnai,6.83
2021-01-01,Kaunas,Vytėnai,4.38
2020-07-01,Kaunas,Vytėnai,6.28
2019-06-01,Kaunas,Vytėnai,4.29
2019-04-01,Kaunas,Vytėnai,3.38
2020-09-01,Kaunas,Vytėnai,7.78
2021-12-01,Kaunas,Vytėnai,9.54
2018-12-01,Kaunas,Vytėnai,7.52
2018-08-01,Kaunas,Vytėnai,7.05
2019-09-01,Kaunas,Vytėnai,5.26
2019-01-01,Kaunas,Vytėnai,8.42
2018-03-01,Kaunas,Vytėnai,6.44
2021-03-01,Kaunas,Vytėnai,10.89
2017-12-01,Kaunas,Vytėnai,6.44
2019-12-01,Kaunas,Vytėnai,6.2
2020-01-01,Kaunas,Vytėnai,5.55
2018-06-01,Kaunas,Vytėnai,6.88
2019-08-01,Kaunas,Vytėnai,5.49
2018-07-01,Kaunas,Vytėnai,7.2
2020-02-01,Kaunas,Vytėnai,5.61
2019-03-01,Kaunas,Vytėnai,3.38
2019-07-01,Kaunas,Vytėnai,5.69
2020-08-01,Kaunas,Vytėnai,7.65
2018-11-01,Kaunas,Vytėnai,6.97
2020-12-01,Kaunas,Vilijampolė,4.95
2020-10-01,Kaunas,Vilijampolė,3.38
2020-09-01,Kaunas,Vilijampolė,3.24
2021-01-01,Kaunas,Vilijampolė,5.12
2021-01-01,Kaunas,Žaliakalnis,4.57
2019-05-01,Kaunas,Žaliakalnis,5.32
2020-08-01,Kaunas,Žaliakalnis,4.01
2018-10-01,Kaunas,Žaliakalnis,6.27
2021-09-01,Kaunas,Žaliakalnis,7.43
2019-03-01,Kaunas,Žaliakalnis,4.65
2019-12-01,Kaunas,Žaliakalnis,4.45
2019-10-01,Kaunas,Žaliakalnis,7.47
2020-01-01,Kaunas,Žaliakalnis,4.65
2018-04-01,Kaunas,Žaliakalnis,5.73
2019-04-01,Kaunas,Žaliakalnis,5.78
2019-09-01,Kaunas,Žaliakalnis,8.47
2020-06-01,Kaunas,Žaliakalnis,3.8
2019-08-01,Kaunas,Žaliakalnis,8.2
2018-08-01,Kaunas,Žaliakalnis,6.56
2017-12-01,Kaunas,Žaliakalnis,4.39
2019-02-01,Kaunas,Žaliakalnis,6.26
2019-11-01,Kaunas,Žaliakalnis,5.37
2020-11-01,Kaunas,Žaliakalnis,3.6
2018-06-01,Kaunas,Žaliakalnis,6.16
2018-11-01,Kaunas,Žaliakalnis,6.85
2020-09-01,Kaunas,Žaliakalnis,5.09
2020-04-01,Kaunas,Žaliakalnis,4.09
2020-03-01,Kaunas,Žaliakalnis,4.43
2018-05-01,Kaunas,Žaliakalnis,6.4
2021-02-01,Kaunas,Žaliakalnis,7.16
2019-01-01,Kaunas,Žaliakalnis,6.3
2018-01-01,Kaunas,Žaliakalnis,4.97
2020-10-01,Kaunas,Žaliakalnis,5.16
2020-12-01,Kaunas,Žaliakalnis,4.36
2018-02-01,Kaunas,Žaliakalnis,6.5
2021-03-01,Kaunas,Žaliakalnis,6.55
2020-07-01,Kaunas,Žaliakalnis,3.2
2019-07-01,Kaunas,Žaliakalnis,6.32
2018-07-01,Kaunas,Žaliakalnis,6.46
2020-02-01,Kaunas,Žaliakalnis,4.58
2020-05-01,Kaunas,Žaliakalnis,3.82
2019-10-01,Kaunas,Žemieji Šančiai,6.88
2020-09-01,Kaunas,Žemieji Šančiai,4.71
2019-08-01,Kaunas,Žemieji Šančiai,3.97
2020-02-01,Kaunas,Žemieji Šančiai,7.9
2019-01-01,Kaunas,Žemieji Šančiai,4.32
2019-12-01,Kaunas,Žemieji Šančiai,5.23
2018-03-01,Kaunas,Žemieji Šančiai,2.69
2019-09-01,Kaunas,Žemieji Šančiai,7.38
2020-10-01,Kaunas,Žemieji Šančiai,2.0
2020-11-01,Kaunas,Žemieji Šančiai,2.1
2018-11-01,Kaunas,Žemieji Šančiai,4.17
2020-01-01,Kaunas,Žemieji Šančiai,5.81
2018-10-01,Kaunas,Žemieji Šančiai,5.67
2019-11-01,Kaunas,Žemieji Šančiai,6.29
2017-12-01,Kaunas,Žemieji Šančiai,6.98
2018-01-01,Kaunas,Žemieji Šančiai,6.86
2019-09-01,Kaunas,Žemutiniai Kaniūkai,4.18
2020-09-01,Kaunas,Sargėnai,2.96
2021-02-01,Kaunas,Sargėnai,5.15
2021-03-01,Kaunas,Sargėnai,5.17
2020-10-01,Kaunas,Sargėnai,3.0
2019-10-01,Kaunas,Vičiūnai,4.06
2020-01-01,Kaunas,Vičiūnai,6.01
2019-02-01,Kaunas,Vičiūnai,7.56
2021-03-01,Kaunas,Vičiūnai,12.1
2019-09-01,Kaunas,Vičiūnai,4.98
2020-04-01,Kaunas,Vičiūnai,6.76
2019-11-01,Kaunas,Vičiūnai,4.17
2019-08-01,Kaunas,Vičiūnai,6.78
2020-02-01,Kaunas,Vičiūnai,5.51
2020-10-01,Kaunas,Vičiūnai,5.42
2021-02-01,Kaunas,Vičiūnai,8.13
2020-03-01,Kaunas,Vičiūnai,6.53
2019-12-01,Kaunas,Vičiūnai,5.72
2020-12-01,Kaunas,Vičiūnai,10.39
2021-01-01,Kaunas,Vičiūnai,7.4
2019-03-01,Kaunas,Vičiūnai,7.39
2020-03-01,Kaunas,Šilainiai,4.63
2020-12-01,Kaunas,Šilainiai,5.91
2018-12-01,Kaunas,Šilainiai,2.25
2019-04-01,Kaunas,Šilainiai,5.24
2019-11-01,Kaunas,Šilainiai,3.85
2021-02-01,Kaunas,Šilainiai,5.19
2019-03-01,Kaunas,Šilainiai,5.93
2018-07-01,Kaunas,Šilainiai,4.92
2017-11-01,Kaunas,Šilainiai,4.66
2018-03-01,Kaunas,Šilainiai,5.57
2019-12-01,Kaunas,Šilainiai,3.57
2020-05-01,Kaunas,Šilainiai,5.09
2019-06-01,Kaunas,Šilainiai,6.37
2018-05-01,Kaunas,Šilainiai,5.35
2020-01-01,Kaunas,Šilainiai,3.57
2020-04-01,Kaunas,Šilainiai,4.42
2018-01-01,Kaunas,Šilainiai,4.06
2018-06-01,Kaunas,Šilainiai,5.22
2021-01-01,Kaunas,Šilainiai,4.82
2017-12-01,Kaunas,Šilainiai,3.91
2020-11-01,Kaunas,Šilainiai,7.32
2019-09-01,Kaunas,Šilainiai,9.15
2020-10-01,Kaunas,Šilainiai,6.84
2020-02-01,Kaunas,Šilainiai,3.77
2020-07-01,Kaunas,Šilainiai,5.5
2018-04-01,Kaunas,Šilainiai,5.41
2020-06-01,Kaunas,Šilainiai,3.71
2018-02-01,Kaunas,Šilainiai,5.66
2019-07-01,Kaunas,Šilainiai,6.48
2018-08-01,Kaunas,Senamiestis,8.43
2018-09-01,Kaunas,Senamiestis,8.43
2020-12-01,Kaunas,Vaišvydava,6.25
2018-06-01,Kaunas,Vaišvydava,50.71
2019-06-01,Kaunas,Vaišvydava,2.85
2019-05-01,Kaunas,Vaišvydava,3.08
2020-05-01,Kaunas,Vaišvydava,5.91
2020-04-01,Kaunas,Vaišvydava,6.39
2018-05-01,Kaunas,Vaišvydava,3.89
2020-08-01,Kaunas,Vaišvydava,10.13
2020-07-01,Kaunas,Vaišvydava,8.52
2020-11-01,Kaunas,Vaišvydava,7.95
2019-04-01,Kaunas,Vaišvydava,3.1
2018-04-01,Kaunas,Vaišvydava,3.87
2021-02-01,Kaunas,Vaišvydava,6.16
2018-03-01,Kaunas,Vaišvydava,3.19
2019-03-01,Kaunas,Vaišvydava,3.43
2021-01-01,Kaunas,Vaišvydava,6.18
2018-12-01,Kaunas,Vaišvydava,1.96
2020-07-01,Kaunas,Vilijampolė,4.15
2018-01-01,Kaunas,Vilijampolė,1.95
2018-03-01,Kaunas,Vilijampolė,2.31
2020-02-01,Kaunas,Vilijampolė,5.32
2018-04-01,Kaunas,Vilijampolė,3.1
2019-10-01,Kaunas,Vilijampolė,6.3
2018-09-01,Kaunas,Vilijampolė,4.13
2019-02-01,Kaunas,Vilijampolė,6.73
2018-10-01,Kaunas,Vilijampolė,4.91
2019-04-01,Kaunas,Vilijampolė,7.14
2018-02-01,Kaunas,Vilijampolė,1.95
2018-05-01,Kaunas,Vilijampolė,4.25
2020-06-01,Kaunas,Vilijampolė,4.1
2019-03-01,Kaunas,Vilijampolė,6.85
2020-01-01,Kaunas,Vilijampolė,3.8
2020-04-01,Kaunas,Vilijampolė,4.84
2018-12-01,Kaunas,Vilijampolė,4.91
2020-03-01,Kaunas,Vilijampolė,5.24
2019-11-01,Kaunas,Vilijampolė,4.07
2020-08-01,Kaunas,Vilijampolė,3.98
2019-07-01,Kaunas,Vilijampolė,5.71
2019-09-01,Kaunas,Vilijampolė,6.39
2020-05-01,Kaunas,Vilijampolė,4.2
2019-12-01,Kaunas,Vilijampolė,3.93
2018-11-01,Kaunas,Vilijampolė,4.56
2018-08-01,Kaunas,Vilijampolė,4.16
2019-01-01,Kaunas,Vilijampolė,5.44
2018-09-01,Kaunas,Freda,4.1
2018-11-01,Kaunas,Freda,3.98
2019-07-01,Kaunas,Freda,5.14
2018-05-01,Kaunas,Freda,7.01
2018-12-01,Kaunas,Freda,3.43
2017-12-01,Kaunas,Freda,4.42
2018-06-01,Kaunas,Freda,4.79
2019-08-01,Kaunas,Freda,5.28
2019-06-01,Kaunas,Freda,4.8
2018-08-01,Kaunas,Freda,4.03
2019-03-01,Kaunas,Freda,3.43
2018-01-01,Kaunas,Freda,4.52
2019-05-01,Kaunas,Freda,4.8
2018-03-01,Kaunas,Freda,8.27
2019-02-01,Kaunas,Freda,3.43
2018-10-01,Kaunas,Freda,4.76
2018-04-01,Kaunas,Freda,7.57
2018-07-01,Kaunas,Freda,3.39
2019-01-01,Kaunas,Freda,3.43
2017-08-01,Kaunas,Centras,10.11
2019-08-01,Kaunas,Centras,10.7
2017-01-01,Kaunas,Centras,7.99
2020-06-01,Kaunas,Centras,5.05
2019-04-01,Kaunas,Centras,8.02
2020-05-01,Kaunas,Centras,5.73
2017-03-01,Kaunas,Centras,6.57
2017-09-01,Kaunas,Centras,7.78
2017-02-01,Kaunas,Centras,9.51
2017-12-01,Kaunas,Centras,21.01
2017-05-01,Kaunas,Centras,10.75
2019-05-01,Kaunas,Centras,7.67
2018-06-01,Kaunas,Centras,2533.77
2018-01-01,Kaunas,Centras,12.01
2019-01-01,Kaunas,Centras,7.12
2019-09-01,Kaunas,Centras,15.22
2018-12-01,Kaunas,Centras,7.0
2019-10-01,Kaunas,Centras,12.01
2020-01-01,Kaunas,Centras,7.33
2019-06-01,Kaunas,Centras,7.67
